City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Kaitangata,NZ,-46.2817,169.8464,65.93,71,3,4.83,clear sky
139,Punta Arenas,CL,-53.15,-70.9167,55.51,47,0,10.36,clear sky
140,Sambava,MG,-14.2667,50.1667,74.21,92,100,4.52,overcast clouds
141,La Ronge,CA,55.1001,-105.2842,-21.75,69,1,2.3,clear sky
142,Amravati,IN,20.9333,77.75,62.06,56,0,6.62,clear sky
143,San Cristobal,VE,7.7669,-72.225,69.98,85,37,1.43,scattered clouds
144,Codrington,AU,-38.2667,141.9667,61.74,54,99,16.64,overcast clouds
145,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,34,20,0.0,few clouds
146,Maniitsoq,GL,65.4167,-52.9,30.33,57,0,4.47,clear sky
147,Sisimiut,GL,66.9395,-53.6735,21.94,62,0,5.28,clear sky
148,Amalapuram,IN,16.5833,82.0167,73.78,81,0,2.15,clear sky
149,Faanui,PF,-16.4833,-151.75,81.36,69,20,12.77,few clouds
150,Harper,LR,4.375,-7.7169,79.11,82,19,6.69,few clouds
151,Upata,VE,8.0086,-62.3989,75.2,97,25,3.76,scattered clouds
152,Tuatapere,NZ,-46.1333,167.6833,74.82,49,16,12.03,few clouds
153,Lompoc,US,34.6391,-120.4579,53.28,83,90,8.05,moderate rain
154,Tasiilaq,GL,65.6145,-37.6368,24.96,55,0,6.98,clear sky
155,Smolenka,RU,52.1352,113.4974,1.47,60,15,8.95,few clouds
156,Dobryanka,RU,58.4619,56.4165,15.66,92,100,16.6,snow
157,Sakakah,SA,29.9697,40.2064,42.37,75,0,5.61,clear sky
158,Zomin,UZ,39.9606,68.3958,33.6,94,100,4.76,overcast clouds
159,Karratha,AU,-20.7377,116.8463,99.18,29,34,15.93,scattered clouds
160,Akdepe,TM,42.0551,59.3788,10.49,86,9,5.06,clear sky
161,Ribeira Grande,PT,38.5167,-28.7,63.86,91,100,28.32,overcast clouds
