City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Kupang,ID,79.38,heavy intensity rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
584,Kurduvadi,IN,67.12,clear sky,18.0833,75.4333,Trimurti Hotel and Lodging
585,Payo,ID,78.4,broken clouds,-3.7508,103.6372,Mess keban agung
586,Beroroha,MG,75.81,broken clouds,-21.6667,45.1667,
592,Namuac,PH,74.21,overcast clouds,18.6109,121.1657,Mlin Hotel
593,Nioki,CD,69.85,broken clouds,-2.7167,17.6833,
594,Hanmer Springs,NZ,74.89,clear sky,-42.5167,172.8167,The Chalets Motel
595,Gizo,SB,83.14,light rain,-8.103,156.8419,Imagination Island
599,Russell,US,65.91,broken clouds,32.3502,-85.1999,Macs
601,Kimbe,PG,82.27,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
603,Sapa,PH,82.58,broken clouds,5.1544,120.3241,
607,Praia Da Vitoria,PT,66.45,broken clouds,38.7333,-27.0667,Hotel Branco I
608,Tshikapa,CD,69.31,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
609,Viedma,AR,68.86,clear sky,-40.8135,-62.9967,Hotel Cristal
610,Doha,QA,67.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
612,North Myrtle Beach,US,68.0,clear sky,33.816,-78.68,Avista Resort
613,Paita,PE,68.61,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
